corridor,facility,tmc_code,date_local,road_order,length_mi,lanes,free_flow_speed_mph,capacity_speed_mph,capacity_vph_link,observed_15min_bins,threshold_multiplier,threshold_basis,threshold_speed_mph,threshold_speed_ratio_to_vf,threshold_speed_ratio_to_vc,episode_identified,duration_h,demand_veh_link,d_over_c_h,episode_start_minute,episode_end_minute,minimum_speed_mph,minimum_speed_minute,touches_data_start,touches_data_end,uncensored_episode,congested_link_mile_hours,qualifying_link_miles
I-95 HOV NB,HOV,110+04669,2025-10-15,20.0,0.233731,3,69.7665,49.33236524965127,6000.0,96,0.25,free_flow_speed,17.441625,0.25,0.35355339059327373,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110+04669,2025-10-16,20.0,0.233731,3,69.7665,49.33236524965127,6000.0,96,0.25,free_flow_speed,17.441625,0.25,0.35355339059327373,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110+04669,2025-10-17,20.0,0.233731,3,69.7665,49.33236524965127,6000.0,96,0.25,free_flow_speed,17.441625,0.25,0.35355339059327373,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110+04669,2025-10-20,20.0,0.233731,3,69.7665,49.33236524965127,6000.0,96,0.25,free_flow_speed,17.441625,0.25,0.35355339059327373,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110+04669,2025-10-21,20.0,0.233731,3,69.7665,49.33236524965127,6000.0,96,0.25,free_flow_speed,17.441625,0.25,0.35355339059327373,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110+04669,2025-10-22,20.0,0.233731,3,69.7665,49.33236524965127,6000.0,96,0.25,free_flow_speed,17.441625,0.25,0.35355339059327373,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110+04669,2025-10-23,20.0,0.233731,3,69.7665,49.33236524965127,6000.0,96,0.25,free_flow_speed,17.441625,0.25,0.35355339059327373,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110+04669,2025-10-24,20.0,0.233731,3,69.7665,49.33236524965127,6000.0,96,0.25,free_flow_speed,17.441625,0.25,0.35355339059327373,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110+04669,2025-10-27,20.0,0.233731,3,69.7665,49.33236524965127,6000.0,96,0.25,free_flow_speed,17.441625,0.25,0.35355339059327373,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110+04669,2025-10-28,20.0,0.233731,3,69.7665,49.33236524965127,6000.0,96,0.25,free_flow_speed,17.441625,0.25,0.35355339059327373,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110+04669,2025-10-29,20.0,0.233731,3,69.7665,49.33236524965127,6000.0,96,0.25,free_flow_speed,17.441625,0.25,0.35355339059327373,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110+04669,2025-10-30,20.0,0.233731,3,69.7665,49.33236524965127,6000.0,96,0.25,free_flow_speed,17.441625,0.25,0.35355339059327373,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110+04669,2025-10-31,20.0,0.233731,3,69.7665,49.33236524965127,6000.0,96,0.25,free_flow_speed,17.441625,0.25,0.35355339059327373,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110+04658,2025-10-01,1.0,5.922145,2,73.0,51.618795026617974,4000.0,96,0.5,free_flow_speed,36.5,0.5,0.7071067811865475,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110+04658,2025-10-02,1.0,5.922145,2,73.0,51.618795026617974,4000.0,96,0.5,free_flow_speed,36.5,0.5,0.7071067811865475,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110+04658,2025-10-03,1.0,5.922145,2,73.0,51.618795026617974,4000.0,96,0.5,free_flow_speed,36.5,0.5,0.7071067811865475,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110+04658,2025-10-06,1.0,5.922145,2,73.0,51.618795026617974,4000.0,96,0.5,free_flow_speed,36.5,0.5,0.7071067811865475,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110+04658,2025-10-07,1.0,5.922145,2,73.0,51.618795026617974,4000.0,96,0.5,free_flow_speed,36.5,0.5,0.7071067811865475,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110+04658,2025-10-08,1.0,5.922145,2,73.0,51.618795026617974,4000.0,96,0.5,free_flow_speed,36.5,0.5,0.7071067811865475,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110+04658,2025-10-09,1.0,5.922145,2,73.0,51.618795026617974,4000.0,96,0.5,free_flow_speed,36.5,0.5,0.7071067811865475,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110+04658,2025-10-10,1.0,5.922145,2,73.0,51.618795026617974,4000.0,96,0.5,free_flow_speed,36.5,0.5,0.7071067811865475,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110+04658,2025-10-13,1.0,5.922145,2,73.0,51.618795026617974,4000.0,96,0.5,free_flow_speed,36.5,0.5,0.7071067811865475,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110+04658,2025-10-14,1.0,5.922145,2,73.0,51.618795026617974,4000.0,96,0.5,free_flow_speed,36.5,0.5,0.7071067811865475,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110+04658,2025-10-15,1.0,5.922145,2,73.0,51.618795026617974,4000.0,96,0.5,free_flow_speed,36.5,0.5,0.7071067811865475,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110+04658,2025-10-16,1.0,5.922145,2,73.0,51.618795026617974,4000.0,96,0.5,free_flow_speed,36.5,0.5,0.7071067811865475,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110+04658,2025-10-17,1.0,5.922145,2,73.0,51.618795026617974,4000.0,96,0.5,free_flow_speed,36.5,0.5,0.7071067811865475,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110+04658,2025-10-20,1.0,5.922145,2,73.0,51.618795026617974,4000.0,96,0.5,free_flow_speed,36.5,0.5,0.7071067811865475,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110+04658,2025-10-21,1.0,5.922145,2,73.0,51.618795026617974,4000.0,96,0.5,free_flow_speed,36.5,0.5,0.7071067811865475,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110+04658,2025-10-22,1.0,5.922145,2,73.0,51.618795026617974,4000.0,96,0.5,free_flow_speed,36.5,0.5,0.7071067811865475,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110+04658,2025-10-23,1.0,5.922145,2,73.0,51.618795026617974,4000.0,96,0.5,free_flow_speed,36.5,0.5,0.7071067811865475,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110+04658,2025-10-24,1.0,5.922145,2,73.0,51.618795026617974,4000.0,96,0.5,free_flow_speed,36.5,0.5,0.7071067811865475,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110+04658,2025-10-27,1.0,5.922145,2,73.0,51.618795026617974,4000.0,96,0.5,free_flow_speed,36.5,0.5,0.7071067811865475,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110+04658,2025-10-28,1.0,5.922145,2,73.0,51.618795026617974,4000.0,96,0.5,free_flow_speed,36.5,0.5,0.7071067811865475,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110+04658,2025-10-29,1.0,5.922145,2,73.0,51.618795026617974,4000.0,96,0.5,free_flow_speed,36.5,0.5,0.7071067811865475,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110+04658,2025-10-30,1.0,5.922145,2,73.0,51.618795026617974,4000.0,96,0.5,free_flow_speed,36.5,0.5,0.7071067811865475,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110+04658,2025-10-31,1.0,5.922145,2,73.0,51.618795026617974,4000.0,96,0.5,free_flow_speed,36.5,0.5,0.7071067811865475,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110P04660,2025-10-01,4.0,0.969226,2,71.0,50.204581464244875,4000.0,96,0.5,free_flow_speed,35.5,0.5,0.7071067811865476,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110P04660,2025-10-02,4.0,0.969226,2,71.0,50.204581464244875,4000.0,96,0.5,free_flow_speed,35.5,0.5,0.7071067811865476,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110P04660,2025-10-03,4.0,0.969226,2,71.0,50.204581464244875,4000.0,96,0.5,free_flow_speed,35.5,0.5,0.7071067811865476,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110P04660,2025-10-06,4.0,0.969226,2,71.0,50.204581464244875,4000.0,96,0.5,free_flow_speed,35.5,0.5,0.7071067811865476,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110P04660,2025-10-07,4.0,0.969226,2,71.0,50.204581464244875,4000.0,96,0.5,free_flow_speed,35.5,0.5,0.7071067811865476,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110P04660,2025-10-08,4.0,0.969226,2,71.0,50.204581464244875,4000.0,96,0.5,free_flow_speed,35.5,0.5,0.7071067811865476,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110P04660,2025-10-09,4.0,0.969226,2,71.0,50.204581464244875,4000.0,96,0.5,free_flow_speed,35.5,0.5,0.7071067811865476,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110P04660,2025-10-10,4.0,0.969226,2,71.0,50.204581464244875,4000.0,96,0.5,free_flow_speed,35.5,0.5,0.7071067811865476,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110P04660,2025-10-13,4.0,0.969226,2,71.0,50.204581464244875,4000.0,96,0.5,free_flow_speed,35.5,0.5,0.7071067811865476,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110P04660,2025-10-14,4.0,0.969226,2,71.0,50.204581464244875,4000.0,96,0.5,free_flow_speed,35.5,0.5,0.7071067811865476,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110P04660,2025-10-15,4.0,0.969226,2,71.0,50.204581464244875,4000.0,96,0.5,free_flow_speed,35.5,0.5,0.7071067811865476,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110P04660,2025-10-16,4.0,0.969226,2,71.0,50.204581464244875,4000.0,96,0.5,free_flow_speed,35.5,0.5,0.7071067811865476,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110P04660,2025-10-17,4.0,0.969226,2,71.0,50.204581464244875,4000.0,96,0.5,free_flow_speed,35.5,0.5,0.7071067811865476,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110P04660,2025-10-20,4.0,0.969226,2,71.0,50.204581464244875,4000.0,96,0.5,free_flow_speed,35.5,0.5,0.7071067811865476,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110P04660,2025-10-21,4.0,0.969226,2,71.0,50.204581464244875,4000.0,96,0.5,free_flow_speed,35.5,0.5,0.7071067811865476,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110P04660,2025-10-22,4.0,0.969226,2,71.0,50.204581464244875,4000.0,96,0.5,free_flow_speed,35.5,0.5,0.7071067811865476,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110P04660,2025-10-23,4.0,0.969226,2,71.0,50.204581464244875,4000.0,96,0.5,free_flow_speed,35.5,0.5,0.7071067811865476,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110P04660,2025-10-24,4.0,0.969226,2,71.0,50.204581464244875,4000.0,96,0.5,free_flow_speed,35.5,0.5,0.7071067811865476,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110P04660,2025-10-27,4.0,0.969226,2,71.0,50.204581464244875,4000.0,96,0.5,free_flow_speed,35.5,0.5,0.7071067811865476,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110P04660,2025-10-28,4.0,0.969226,2,71.0,50.204581464244875,4000.0,96,0.5,free_flow_speed,35.5,0.5,0.7071067811865476,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110P04660,2025-10-29,4.0,0.969226,2,71.0,50.204581464244875,4000.0,96,0.5,free_flow_speed,35.5,0.5,0.7071067811865476,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110P04660,2025-10-30,4.0,0.969226,2,71.0,50.204581464244875,4000.0,96,0.5,free_flow_speed,35.5,0.5,0.7071067811865476,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110P04660,2025-10-31,4.0,0.969226,2,71.0,50.204581464244875,4000.0,96,0.5,free_flow_speed,35.5,0.5,0.7071067811865476,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110+04661,2025-10-01,5.0,0.021561,2,71.0,50.204581464244875,4000.0,96,0.5,free_flow_speed,35.5,0.5,0.7071067811865476,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110+04661,2025-10-02,5.0,0.021561,2,71.0,50.204581464244875,4000.0,96,0.5,free_flow_speed,35.5,0.5,0.7071067811865476,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110+04661,2025-10-03,5.0,0.021561,2,71.0,50.204581464244875,4000.0,96,0.5,free_flow_speed,35.5,0.5,0.7071067811865476,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110+04661,2025-10-06,5.0,0.021561,2,71.0,50.204581464244875,4000.0,96,0.5,free_flow_speed,35.5,0.5,0.7071067811865476,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110+04661,2025-10-07,5.0,0.021561,2,71.0,50.204581464244875,4000.0,96,0.5,free_flow_speed,35.5,0.5,0.7071067811865476,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110+04661,2025-10-08,5.0,0.021561,2,71.0,50.204581464244875,4000.0,96,0.5,free_flow_speed,35.5,0.5,0.7071067811865476,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110+04661,2025-10-09,5.0,0.021561,2,71.0,50.204581464244875,4000.0,96,0.5,free_flow_speed,35.5,0.5,0.7071067811865476,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110+04661,2025-10-10,5.0,0.021561,2,71.0,50.204581464244875,4000.0,96,0.5,free_flow_speed,35.5,0.5,0.7071067811865476,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110+04661,2025-10-13,5.0,0.021561,2,71.0,50.204581464244875,4000.0,96,0.5,free_flow_speed,35.5,0.5,0.7071067811865476,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110+04661,2025-10-14,5.0,0.021561,2,71.0,50.204581464244875,4000.0,96,0.5,free_flow_speed,35.5,0.5,0.7071067811865476,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110+04661,2025-10-15,5.0,0.021561,2,71.0,50.204581464244875,4000.0,96,0.5,free_flow_speed,35.5,0.5,0.7071067811865476,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110+04661,2025-10-16,5.0,0.021561,2,71.0,50.204581464244875,4000.0,96,0.5,free_flow_speed,35.5,0.5,0.7071067811865476,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110+04661,2025-10-17,5.0,0.021561,2,71.0,50.204581464244875,4000.0,96,0.5,free_flow_speed,35.5,0.5,0.7071067811865476,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110+04661,2025-10-20,5.0,0.021561,2,71.0,50.204581464244875,4000.0,96,0.5,free_flow_speed,35.5,0.5,0.7071067811865476,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110+04661,2025-10-21,5.0,0.021561,2,71.0,50.204581464244875,4000.0,96,0.5,free_flow_speed,35.5,0.5,0.7071067811865476,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110+04661,2025-10-22,5.0,0.021561,2,71.0,50.204581464244875,4000.0,96,0.5,free_flow_speed,35.5,0.5,0.7071067811865476,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110+04661,2025-10-23,5.0,0.021561,2,71.0,50.204581464244875,4000.0,96,0.5,free_flow_speed,35.5,0.5,0.7071067811865476,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110+04661,2025-10-24,5.0,0.021561,2,71.0,50.204581464244875,4000.0,96,0.5,free_flow_speed,35.5,0.5,0.7071067811865476,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110+04661,2025-10-27,5.0,0.021561,2,71.0,50.204581464244875,4000.0,96,0.5,free_flow_speed,35.5,0.5,0.7071067811865476,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110+04661,2025-10-28,5.0,0.021561,2,71.0,50.204581464244875,4000.0,96,0.5,free_flow_speed,35.5,0.5,0.7071067811865476,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110+04661,2025-10-29,5.0,0.021561,2,71.0,50.204581464244875,4000.0,96,0.5,free_flow_speed,35.5,0.5,0.7071067811865476,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110+04661,2025-10-30,5.0,0.021561,2,71.0,50.204581464244875,4000.0,96,0.5,free_flow_speed,35.5,0.5,0.7071067811865476,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110+04661,2025-10-31,5.0,0.021561,2,71.0,50.204581464244875,4000.0,96,0.5,free_flow_speed,35.5,0.5,0.7071067811865476,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110P04661,2025-10-01,6.0,0.254748,2,71.0,50.204581464244875,4000.0,96,0.5,free_flow_speed,35.5,0.5,0.7071067811865476,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110P04661,2025-10-02,6.0,0.254748,2,71.0,50.204581464244875,4000.0,96,0.5,free_flow_speed,35.5,0.5,0.7071067811865476,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110P04661,2025-10-03,6.0,0.254748,2,71.0,50.204581464244875,4000.0,96,0.5,free_flow_speed,35.5,0.5,0.7071067811865476,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110P04661,2025-10-06,6.0,0.254748,2,71.0,50.204581464244875,4000.0,96,0.5,free_flow_speed,35.5,0.5,0.7071067811865476,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110P04661,2025-10-07,6.0,0.254748,2,71.0,50.204581464244875,4000.0,96,0.5,free_flow_speed,35.5,0.5,0.7071067811865476,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110P04661,2025-10-08,6.0,0.254748,2,71.0,50.204581464244875,4000.0,96,0.5,free_flow_speed,35.5,0.5,0.7071067811865476,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110P04661,2025-10-09,6.0,0.254748,2,71.0,50.204581464244875,4000.0,96,0.5,free_flow_speed,35.5,0.5,0.7071067811865476,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110P04661,2025-10-10,6.0,0.254748,2,71.0,50.204581464244875,4000.0,96,0.5,free_flow_speed,35.5,0.5,0.7071067811865476,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110P04661,2025-10-13,6.0,0.254748,2,71.0,50.204581464244875,4000.0,96,0.5,free_flow_speed,35.5,0.5,0.7071067811865476,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110P04661,2025-10-14,6.0,0.254748,2,71.0,50.204581464244875,4000.0,96,0.5,free_flow_speed,35.5,0.5,0.7071067811865476,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110P04661,2025-10-15,6.0,0.254748,2,71.0,50.204581464244875,4000.0,96,0.5,free_flow_speed,35.5,0.5,0.7071067811865476,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110P04661,2025-10-16,6.0,0.254748,2,71.0,50.204581464244875,4000.0,96,0.5,free_flow_speed,35.5,0.5,0.7071067811865476,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110P04661,2025-10-17,6.0,0.254748,2,71.0,50.204581464244875,4000.0,96,0.5,free_flow_speed,35.5,0.5,0.7071067811865476,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110P04661,2025-10-20,6.0,0.254748,2,71.0,50.204581464244875,4000.0,96,0.5,free_flow_speed,35.5,0.5,0.7071067811865476,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110P04661,2025-10-21,6.0,0.254748,2,71.0,50.204581464244875,4000.0,96,0.5,free_flow_speed,35.5,0.5,0.7071067811865476,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110P04661,2025-10-22,6.0,0.254748,2,71.0,50.204581464244875,4000.0,96,0.5,free_flow_speed,35.5,0.5,0.7071067811865476,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110P04661,2025-10-23,6.0,0.254748,2,71.0,50.204581464244875,4000.0,96,0.5,free_flow_speed,35.5,0.5,0.7071067811865476,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110P04661,2025-10-24,6.0,0.254748,2,71.0,50.204581464244875,4000.0,96,0.5,free_flow_speed,35.5,0.5,0.7071067811865476,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110P04661,2025-10-27,6.0,0.254748,2,71.0,50.204581464244875,4000.0,96,0.5,free_flow_speed,35.5,0.5,0.7071067811865476,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110P04661,2025-10-28,6.0,0.254748,2,71.0,50.204581464244875,4000.0,96,0.5,free_flow_speed,35.5,0.5,0.7071067811865476,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110P04661,2025-10-29,6.0,0.254748,2,71.0,50.204581464244875,4000.0,96,0.5,free_flow_speed,35.5,0.5,0.7071067811865476,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110P04661,2025-10-30,6.0,0.254748,2,71.0,50.204581464244875,4000.0,96,0.5,free_flow_speed,35.5,0.5,0.7071067811865476,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110P04661,2025-10-31,6.0,0.254748,2,71.0,50.204581464244875,4000.0,96,0.5,free_flow_speed,35.5,0.5,0.7071067811865476,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110+04662,2025-10-01,7.0,0.930388,2,70.0,49.49747468305833,4000.0,96,0.5,free_flow_speed,35.0,0.5,0.7071067811865475,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110+04662,2025-10-02,7.0,0.930388,2,70.0,49.49747468305833,4000.0,96,0.5,free_flow_speed,35.0,0.5,0.7071067811865475,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110+04662,2025-10-03,7.0,0.930388,2,70.0,49.49747468305833,4000.0,96,0.5,free_flow_speed,35.0,0.5,0.7071067811865475,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110+04662,2025-10-06,7.0,0.930388,2,70.0,49.49747468305833,4000.0,96,0.5,free_flow_speed,35.0,0.5,0.7071067811865475,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110+04662,2025-10-07,7.0,0.930388,2,70.0,49.49747468305833,4000.0,96,0.5,free_flow_speed,35.0,0.5,0.7071067811865475,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110+04662,2025-10-08,7.0,0.930388,2,70.0,49.49747468305833,4000.0,96,0.5,free_flow_speed,35.0,0.5,0.7071067811865475,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110+04662,2025-10-09,7.0,0.930388,2,70.0,49.49747468305833,4000.0,96,0.5,free_flow_speed,35.0,0.5,0.7071067811865475,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110+04662,2025-10-10,7.0,0.930388,2,70.0,49.49747468305833,4000.0,96,0.5,free_flow_speed,35.0,0.5,0.7071067811865475,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110+04662,2025-10-13,7.0,0.930388,2,70.0,49.49747468305833,4000.0,96,0.5,free_flow_speed,35.0,0.5,0.7071067811865475,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110+04662,2025-10-14,7.0,0.930388,2,70.0,49.49747468305833,4000.0,96,0.5,free_flow_speed,35.0,0.5,0.7071067811865475,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110+04662,2025-10-15,7.0,0.930388,2,70.0,49.49747468305833,4000.0,96,0.5,free_flow_speed,35.0,0.5,0.7071067811865475,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
I-95 HOV NB,HOV,110+04662,2025-10-16,7.0,0.930388,2,70.0,49.49747468305833,4000.0,96,0.5,free_flow_speed,35.0,0.5,0.7071067811865475,False,0.0,0.0,0.0,,,,,False,False,False,0.0,0.0
